ParticipantID,Condition,Age,LGBQ,TGD,Rating_Generic,Rating_Name,Sharing,UseThey,GenderBeliefs
3_001,both,53,0,0,4,1,9,1,41
3_002,nametag,21,1,0,6.666666667,7,16,3,0
3_003,nametag,43,0,0,5.666666667,6.333333333,4,2,12
3_004,nametag,50,0,0,5.666666667,4,6,1,22
3_005,intro,37,0,0,6.333333333,1.333333333,4,2,19
3_006,intro,35,1,0,6,6,17,3,0
3_007,intro,32,0,0,4.666666667,5.333333333,9,2,15
3_008,intro,48,0,0,5.666666667,3,9,2,8
3_009,intro,55,0,0,5.333333333,3,2,3,29
3_010,intro,25,0,0,7,5.333333333,10,3,6
3_011,neither,39,0,0,6.666666667,7,0,2,6
3_012,both,27,0,0,5.333333333,3.333333333,4,1,41
3_013,both,43,0,0,4.333333333,3,9,3,40
3_014,both,61,0,0,4.666666667,4.333333333,0,3,5
3_015,neither,21,0,0,7,1,8,2,39
3_016,both,31,0,0,5,6.666666667,2,1,15
3_018,both,25,0,0,5,3.333333333,8,2,4
3_019,both,29,1,1,4.666666667,5.666666667,17,3,0
3_020,nametag,31,0,0,6,2.666666667,8,3,11
3_021,nametag,24,0,0,6.333333333,7,18,3,1
3_022,nametag,50,0,0,5.666666667,4.666666667,2,1,35
3_023,both,24,1,1,6.666666667,7,16,3,1
3_024,nametag,31,0,0,5.333333333,5,2,1,4
3_025,nametag,31,0,0,4.666666667,2,5,1,32
3_026,both,28,0,0,5.666666667,5.666666667,15,2,13
3_027,intro,30,0,0,6.666666667,1,1,1,48
3_028,intro,40,0,0,6,7,8,3,28
3_029,intro,22,0,0,6,7,16,3,2
3_030,both,24,0,0,5,3.666666667,4,2,41
3_031,nametag,25,0,0,6,4.666666667,7,1,51
3_032,intro,36,1,0,6.666666667,6.666666667,1,1,1
3_033,neither,26,0,0,3,4,4,2,8
3_034,intro,42,0,0,6.666666667,3,7,1,18
3_035,intro,38,0,0,5.666666667,1.666666667,12,3,25
3_036,both,29,0,0,6.333333333,3,2,2,8
3_037,neither,24,0,0,6,4.333333333,2,2,31
3_038,both,40,0,0,7,7,2,1,22
3_039,both,26,1,0,5.666666667,6.333333333,4,3,19
3_040,both,26,0,0,7,6.333333333,9,2,1
3_041,nametag,20,0,0,4,6.666666667,17,3,14
3_042,nametag,38,0,0,5.666666667,2.333333333,5,1,19
3_043,nametag,47,0,0,6,4,12,2,4
3_044,nametag,33,0,0,7,7,6,2,13
3_045,intro,44,0,0,4,1,2,1,29
3_046,intro,56,0,0,3.666666667,3.666666667,13,2,26
3_047,intro,66,0,0,5,4.333333333,2,1,30
3_048,both,65,0,0,6.666666667,6,8,1,5
3_049,neither,48,0,0,5.666666667,6.333333333,8,2,22
3_050,neither,27,1,0,4,5.333333333,6,2,20
3_051,neither,58,0,0,5.333333333,5.666666667,3,1,35
3_052,neither,44,0,0,3.666666667,5,2,1,25
3_053,both,22,0,0,4.666666667,4,13,3,12
3_054,neither,42,0,0,6.333333333,5,2,1,16
3_055,both,70,0,0,5.333333333,3.666666667,6,1,43
3_056,both,81,0,0,5,4.666666667,2,1,23
3_057,neither,21,1,0,4,6,6,2,11
3_058,both,50,0,0,2.666666667,2,6,1,33
3_059,neither,24,1,0,3.666666667,4.666666667,8,2,9
3_060,nametag,28,0,0,4,5,8,1,36
3_061,intro,42,0,0,7,6,8,2,5
3_062,intro,24,1,0,7,7,14,3,0
3_063,nametag,52,0,0,7,3.333333333,2,1,29
3_064,neither,39,0,0,4.666666667,5,18,3,0
3_065,neither,34,0,0,5.666666667,6.333333333,7,2,26
3_066,neither,35,0,0,5.666666667,3.666666667,7,2,39
3_067,neither,48,0,0,5,4,8,3,10
3_068,both,56,0,0,7,4,12,2,41
3_069,both,60,0,0,6.666666667,5,13,3,2
3_070,both,24,1,1,5.333333333,6.333333333,9,3,6
3_071,neither,31,0,0,6,5,1,2,40
3_072,nametag,44,0,0,5.333333333,4.333333333,9,1,35
3_074,nametag,28,1,0,5.333333333,6.666666667,9,2,7
3_075,both,32,1,0,7,1,2,1,39
3_076,nametag,36,0,0,6.666666667,2,0,1,34
3_077,both,19,1,0,5.333333333,5.333333333,15,3,6
3_078,both,46,0,0,5.333333333,6.333333333,5,1,1
3_079,both,64,0,0,4.666666667,3.333333333,2,1,24
3_080,both,34,0,0,6,1,1,1,42
3_081,neither,32,0,0,6.666666667,1,0,1,27
3_082,intro,29,1,0,1.333333333,2,4,1,38
3_083,neither,35,1,0,6,6,10,3,5
3_084,intro,22,0,0,7,7,16,3,0
3_085,intro,37,0,0,7,3.666666667,1,3,3
3_086,intro,27,0,0,6.666666667,6,6,2,7
3_087,intro,22,0,0,5.333333333,3,11,2,3
3_088,neither,43,1,0,4,5,14,2,1
3_089,neither,22,1,0,7,7,17,3,0
3_090,neither,49,1,0,6.333333333,5.666666667,9,2,24
3_091,neither,41,0,0,4,6.333333333,12,3,6
3_093,both,26,1,0,6.333333333,7,4,2,3
3_094,both,69,0,0,6.333333333,5.666666667,1,1,16
3_095,both,32,0,0,7,2,2,1,40
3_096,nametag,23,1,0,5,4.666666667,6,1,18
3_097,nametag,42,1,0,6.333333333,3.666666667,9,3,17
3_098,nametag,71,0,0,7,5,2,1,22
3_099,intro,37,0,0,5.666666667,5.666666667,5,2,7
3_100,intro,44,0,0,5.666666667,3.333333333,4,1,25
3_101,intro,30,0,0,5.333333333,5,10,2,23
3_102,intro,32,1,0,7,6,12,2,1
3_103,intro,59,0,0,6.666666667,2.333333333,2,1,43
3_104,intro,40,1,0,6,4.666666667,2,1,26
3_105,nametag,25,1,0,2.333333333,5,4,3,3
3_108,neither,36,0,0,5.333333333,5,3,1,26
3_109,neither,72,0,0,6.666666667,7,8,3,1
3_110,both,27,0,0,4.333333333,4.333333333,8,3,31
3_112,both,31,0,0,6,3,2,2,30
3_113,nametag,49,0,0,5.666666667,4.333333333,5,2,6
3_114,nametag,26,0,0,5.333333333,6.666666667,5,2,16
3_115,nametag,34,0,0,6.666666667,1,11,2,15
3_116,nametag,30,1,1,5.333333333,5.333333333,12,3,0
3_117,nametag,46,0,0,7,2.333333333,6,2,33
3_118,intro,56,0,0,6,6,2,1,52
3_119,nametag,34,0,0,6.333333333,2,2,1,21
3_120,nametag,20,0,0,5.333333333,3.666666667,4,1,20
3_121,intro,32,0,0,6.666666667,4.333333333,3,3,25
3_122,neither,46,0,0,7,3,16,3,45
3_123,neither,73,0,0,5.333333333,1,2,1,4
3_124,neither,38,0,0,5.666666667,7,2,1,22
3_125,neither,29,0,0,5.666666667,3.666666667,0,1,36
3_127,both,36,0,0,5,4,9,3,4
3_128,intro,41,0,0,4.666666667,5.666666667,12,2,8
3_129,intro,50,0,0,4.666666667,3.666666667,2,2,9
3_130,both,34,0,0,6.333333333,4,11,2,10
3_131,both,22,0,0,4.333333333,5.333333333,7,2,37
3_132,both,50,1,0,7,6.333333333,13,2,2
3_133,both,23,1,0,6,6,13,3,0
3_134,both,48,0,0,5.666666667,2,10,3,30
3_135,both,49,0,0,4.333333333,2.666666667,9,1,45
3_136,both,19,0,0,6,4,2,1,36
3_137,nametag,33,1,0,6.666666667,5.666666667,2,1,0
3_138,nametag,50,1,0,5.666666667,3,6,3,9
3_139,nametag,27,0,0,5.333333333,5.333333333,12,3,8
3_141,nametag,36,1,0,7,1.333333333,0,2,24
3_142,nametag,55,0,0,5,1,2,1,22
3_143,nametag,21,1,0,5.666666667,5.666666667,16,3,3
3_144,nametag,19,0,0,5.333333333,6.333333333,12,3,12
3_145,nametag,26,1,0,4,7,13,2,3
3_146,nametag,25,1,1,4.666666667,6,14,3,1
3_147,intro,21,1,1,3.333333333,6.666666667,13,2,1
3_148,intro,43,0,0,6,5.666666667,9,3,11
3_149,intro,20,0,0,5,6.333333333,9,1,8
3_150,intro,28,0,0,5,5,2,1,33
3_152,intro,21,1,0,7,7,15,3,6
3_153,neither,55,0,0,6,3,6,3,30
3_154,neither,30,0,0,5.333333333,5.333333333,8,2,16
3_155,neither,31,0,0,3.333333333,3.666666667,10,2,32
3_156,neither,30,0,0,5.333333333,4.333333333,7,2,42
3_157,neither,59,0,0,5.666666667,3,3,1,5
3_158,neither,25,0,0,6.333333333,3.333333333,2,2,36
3_159,neither,36,0,0,5.333333333,2,3,1,33
3_160,neither,30,0,0,4.333333333,3.333333333,12,2,19
3_164,nametag,22,0,0,3.666666667,5.333333333,8,3,10
3_165,nametag,67,0,0,7,7,8,3,31
3_166,intro,19,1,0,4.333333333,6.666666667,6,3,1
3_167,intro,20,0,0,4.666666667,4.333333333,7,3,7
3_168,neither,20,0,0,6,6,13,3,0
3_169,neither,25,0,0,4,6.333333333,14,2,1
3_170,neither,25,1,0,5,5,13,3,8
3_171,neither,36,0,0,6.666666667,6.666666667,8,1,18
3_161,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_162,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_163,NA,NA,NA,NA,NA,NA,NA,NA,NA
