"group","condition","char_set","trial_type","trial_id","target_pronoun","target_id","target_image","target_name","target_file","distractor_pronoun","distractor_id","distractor_image","distractor_name","distractor_file","object_image","target_x","distractor_x","object_x","object_y2","object_y3","object_y4","sibling_image","sibling_pos","top_left","top_right","bottom_left","bottom_right","correct_description","audio"
"1","both","1","practice","both_list1_practice1","he","1","HT1","alex","HT1_he_alex_nametag.png","they","3","HT3","taylor","HT3_they_taylor_nametag.png","sandwich.png",525,275,725,150,100,50,"HT1_sister_alex.png","top right","HT3_sister_taylor.png","HT1_sister_alex.png","HT3_brother_taylor.png","HT1_brother_alex.png","Alex gave the sandwich to his sister.","practice_alex-sandwich-his-sister.mp3"
"1","both","1","practice","both_list1_practice2","she","2","ST1","sam","ST1_she_sam_nametag.png","he","1","HT1","alex","HT1_he_alex_nametag.png","popcorn.png",275,525,175,150,100,50,"ST1_brother_sam.png","top left","ST1_brother_sam.png","HT1_brother_alex.png","ST1_sister_sam.png","HT1_sister_alex.png","Sam gave the popcorn to her brother.","practice_sam-popcorn-her-brother.mp3"
"1","both","1","practice","both_list1_practice3","they","3","HT3","taylor","HT3_they_taylor_nametag.png","she","2","ST1","sam","ST1_she_sam_nametag.png","hotdog.png",275,525,175,250,300,350,"HT3_sister_taylor.png","bottom left","HT3_brother_taylor.png","ST1_sister_sam.png","HT3_sister_taylor.png","ST1_brother_sam.png","Taylor gave the hotdog to their sister.","practice_taylor-hotdog-their-sister.mp3"
"2","both","2","practice","both_list2_practice1","he","4","HT1","jordan","HT1_he_jordan_nametag.png","they","6","ST3","jaime","ST3_they_jaime_nametag.png","sandwich.png",525,275,725,150,100,50,"HT1_sister_jordan.png","top right","ST3_sister_jaime.png","HT1_sister_jordan.png","ST3_brother_jaime.png","HT1_brother_jordan.png","Jordan gave the sandwich to his sister.","practice_jordan-sandwich-his-sister.mp3"
"2","both","2","practice","both_list2_practice2","she","5","ST2","casey","ST2_she_casey_nametag.png","he","4","HT1","jordan","HT1_he_jordan_nametag.png","popcorn.png",275,525,175,150,100,50,"ST2_brother_casey.png","top left","ST2_brother_casey.png","HT1_brother_jordan.png","ST2_sister_casey.png","HT1_sister_jordan.png","Casey gave the popcorn to her brother.","practice_casey-popcorn-her-brother.mp3"
"2","both","2","practice","both_list2_practice3","they","6","ST3","jaime","ST3_they_jaime_nametag.png","she","5","ST2","casey","ST2_she_casey_nametag.png","hotdog.png",275,525,175,250,300,350,"ST3_sister_jaime.png","bottom left","ST3_brother_jaime.png","ST2_sister_casey.png","ST3_sister_jaime.png","ST2_brother_casey.png","Jaime gave the hotdog to their sister.","practice_jaime-hotdog-their-sister.mp3"
"3","both","3","practice","both_list3_practice1","he","7","HT3","jaime","HT3_he_jaime_nametag.png","they","9","HT1","casey","HT1_they_casey_nametag.png","sandwich.png",525,275,725,150,100,50,"HT3_sister_jaime.png","top right","HT1_sister_casey.png","HT3_sister_jaime.png","HT1_brother_casey.png","HT3_brother_jaime.png","Jaime gave the sandwich to his sister.","practice_jaime-sandwich-his-sister.mp3"
"3","both","3","practice","both_list3_practice2","she","8","ST3","alex","ST3_she_alex_nametag.png","he","7","HT3","jaime","HT3_he_jaime_nametag.png","popcorn.png",275,525,175,150,100,50,"ST3_brother_alex.png","top left","ST3_brother_alex.png","HT3_brother_jaime.png","ST3_sister_alex.png","HT3_sister_jaime.png","Alex gave the popcorn to her brother.","practice_alex-popcorn-her-brother.mp3"
"3","both","3","practice","both_list3_practice3","they","9","HT1","casey","HT1_they_casey_nametag.png","she","8","ST3","alex","ST3_she_alex_nametag.png","hotdog.png",275,525,175,250,300,350,"HT1_sister_casey.png","bottom left","HT1_brother_casey.png","ST3_sister_alex.png","HT1_sister_casey.png","ST3_brother_alex.png","Casey gave the hotdog to their sister.","practice_casey-hotdog-their-sister.mp3"
"4","both","4","practice","both_list4_practice1","he","10","HT2","taylor","HT2_he_taylor_nametag.png","they","12","ST2","sam","ST2_they_sam_nametag.png","sandwich.png",525,275,725,150,100,50,"HT2_sister_taylor.png","top right","ST2_sister_sam.png","HT2_sister_taylor.png","ST2_brother_sam.png","HT2_brother_taylor.png","Taylor gave the sandwich to his sister.","practice_taylor-sandwich-his-sister.mp3"
"4","both","4","practice","both_list4_practice2","she","11","ST1","jordan","ST1_she_jordan_nametag.png","he","10","HT2","taylor","HT2_he_taylor_nametag.png","popcorn.png",275,525,175,150,100,50,"ST1_brother_jordan.png","top left","ST1_brother_jordan.png","HT2_brother_taylor.png","ST1_sister_jordan.png","HT2_sister_taylor.png","Jordan gave the popcorn to her brother.","practice_jordan-popcorn-her-brother.mp3"
"4","both","4","practice","both_list4_practice3","they","12","ST2","sam","ST2_they_sam_nametag.png","she","11","ST1","jordan","ST1_she_jordan_nametag.png","hotdog.png",275,525,175,250,300,350,"ST2_sister_sam.png","bottom left","ST2_brother_sam.png","ST1_sister_jordan.png","ST2_sister_sam.png","ST1_brother_jordan.png","Sam gave the hotdog to their sister.","practice_sam-hotdog-their-sister.mp3"
"5","both","5","practice","both_list5_practice1","he","13","HT2","casey","HT2_he_casey_nametag.png","they","15","ST1","alex","ST1_they_alex_nametag.png","sandwich.png",525,275,725,150,100,50,"HT2_sister_casey.png","top right","ST1_sister_alex.png","HT2_sister_casey.png","ST1_brother_alex.png","HT2_brother_casey.png","Casey gave the sandwich to his sister.","practice_casey-sandwich-his-sister.mp3"
"5","both","5","practice","both_list5_practice2","she","14","ST2","jaime","ST2_she_jaime_nametag.png","he","13","HT2","casey","HT2_he_casey_nametag.png","popcorn.png",275,525,175,150,100,50,"ST2_brother_jaime.png","top left","ST2_brother_jaime.png","HT2_brother_casey.png","ST2_sister_jaime.png","HT2_sister_casey.png","Jaime gave the popcorn to her brother.","practice_jaime-popcorn-her-brother.mp3"
"5","both","5","practice","both_list5_practice3","they","15","ST1","alex","ST1_they_alex_nametag.png","she","14","ST2","jaime","ST2_she_jaime_nametag.png","hotdog.png",275,525,175,250,300,350,"ST1_sister_alex.png","bottom left","ST1_brother_alex.png","ST2_sister_jaime.png","ST1_sister_alex.png","ST2_brother_jaime.png","Alex gave the hotdog to their sister.","practice_alex-hotdog-their-sister.mp3"
"6","both","6","practice","both_list6_practice1","he","16","HT3","sam","HT3_he_sam_nametag.png","they","18","HT2","jordan","HT2_they_jordan_nametag.png","sandwich.png",525,275,725,150,100,50,"HT3_sister_sam.png","top right","HT2_sister_jordan.png","HT3_sister_sam.png","HT2_brother_jordan.png","HT3_brother_sam.png","Sam gave the sandwich to his sister.","practice_sam-sandwich-his-sister.mp3"
"6","both","6","practice","both_list6_practice2","she","17","ST3","taylor","ST3_she_taylor_nametag.png","he","16","HT3","sam","HT3_he_sam_nametag.png","popcorn.png",275,525,175,150,100,50,"ST3_brother_taylor.png","top left","ST3_brother_taylor.png","HT3_brother_sam.png","ST3_sister_taylor.png","HT3_sister_sam.png","Taylor gave the popcorn to her brother.","practice_taylor-popcorn-her-brother.mp3"
"6","both","6","practice","both_list6_practice3","they","18","HT2","jordan","HT2_they_jordan_nametag.png","she","17","ST3","taylor","ST3_she_taylor_nametag.png","hotdog.png",275,525,175,250,300,350,"HT2_sister_jordan.png","bottom left","HT2_brother_jordan.png","ST3_sister_taylor.png","HT2_sister_jordan.png","ST3_brother_taylor.png","Jordan gave the hotdog to their sister.","practice_jordan-hotdog-their-sister.mp3"
"7","nametag","1","practice","nametag_list1_practice1","he","1","HT1","alex","HT1_he_alex_nametag.png","they","3","HT3","taylor","HT3_they_taylor_nametag.png","sandwich.png",525,275,725,150,100,50,"HT1_sister_alex.png","top right","HT3_sister_taylor.png","HT1_sister_alex.png","HT3_brother_taylor.png","HT1_brother_alex.png","Alex gave the sandwich to his sister.","practice_alex-sandwich-his-sister.mp3"
"7","nametag","1","practice","nametag_list1_practice2","she","2","ST1","sam","ST1_she_sam_nametag.png","he","1","HT1","alex","HT1_he_alex_nametag.png","popcorn.png",275,525,175,150,100,50,"ST1_brother_sam.png","top left","ST1_brother_sam.png","HT1_brother_alex.png","ST1_sister_sam.png","HT1_sister_alex.png","Sam gave the popcorn to her brother.","practice_sam-popcorn-her-brother.mp3"
"7","nametag","1","practice","nametag_list1_practice3","they","3","HT3","taylor","HT3_they_taylor_nametag.png","she","2","ST1","sam","ST1_she_sam_nametag.png","hotdog.png",275,525,175,250,300,350,"HT3_sister_taylor.png","bottom left","HT3_brother_taylor.png","ST1_sister_sam.png","HT3_sister_taylor.png","ST1_brother_sam.png","Taylor gave the hotdog to their sister.","practice_taylor-hotdog-their-sister.mp3"
"8","nametag","2","practice","nametag_list2_practice1","he","4","HT1","jordan","HT1_he_jordan_nametag.png","they","6","ST3","jaime","ST3_they_jaime_nametag.png","sandwich.png",525,275,725,150,100,50,"HT1_sister_jordan.png","top right","ST3_sister_jaime.png","HT1_sister_jordan.png","ST3_brother_jaime.png","HT1_brother_jordan.png","Jordan gave the sandwich to his sister.","practice_jordan-sandwich-his-sister.mp3"
"8","nametag","2","practice","nametag_list2_practice2","she","5","ST2","casey","ST2_she_casey_nametag.png","he","4","HT1","jordan","HT1_he_jordan_nametag.png","popcorn.png",275,525,175,150,100,50,"ST2_brother_casey.png","top left","ST2_brother_casey.png","HT1_brother_jordan.png","ST2_sister_casey.png","HT1_sister_jordan.png","Casey gave the popcorn to her brother.","practice_casey-popcorn-her-brother.mp3"
"8","nametag","2","practice","nametag_list2_practice3","they","6","ST3","jaime","ST3_they_jaime_nametag.png","she","5","ST2","casey","ST2_she_casey_nametag.png","hotdog.png",275,525,175,250,300,350,"ST3_sister_jaime.png","bottom left","ST3_brother_jaime.png","ST2_sister_casey.png","ST3_sister_jaime.png","ST2_brother_casey.png","Jaime gave the hotdog to their sister.","practice_jaime-hotdog-their-sister.mp3"
"9","nametag","3","practice","nametag_list3_practice1","he","7","HT3","jaime","HT3_he_jaime_nametag.png","they","9","HT1","casey","HT1_they_casey_nametag.png","sandwich.png",525,275,725,150,100,50,"HT3_sister_jaime.png","top right","HT1_sister_casey.png","HT3_sister_jaime.png","HT1_brother_casey.png","HT3_brother_jaime.png","Jaime gave the sandwich to his sister.","practice_jaime-sandwich-his-sister.mp3"
"9","nametag","3","practice","nametag_list3_practice2","she","8","ST3","alex","ST3_she_alex_nametag.png","he","7","HT3","jaime","HT3_he_jaime_nametag.png","popcorn.png",275,525,175,150,100,50,"ST3_brother_alex.png","top left","ST3_brother_alex.png","HT3_brother_jaime.png","ST3_sister_alex.png","HT3_sister_jaime.png","Alex gave the popcorn to her brother.","practice_alex-popcorn-her-brother.mp3"
"9","nametag","3","practice","nametag_list3_practice3","they","9","HT1","casey","HT1_they_casey_nametag.png","she","8","ST3","alex","ST3_she_alex_nametag.png","hotdog.png",275,525,175,250,300,350,"HT1_sister_casey.png","bottom left","HT1_brother_casey.png","ST3_sister_alex.png","HT1_sister_casey.png","ST3_brother_alex.png","Casey gave the hotdog to their sister.","practice_casey-hotdog-their-sister.mp3"
"10","nametag","4","practice","nametag_list4_practice1","he","10","HT2","taylor","HT2_he_taylor_nametag.png","they","12","ST2","sam","ST2_they_sam_nametag.png","sandwich.png",525,275,725,150,100,50,"HT2_sister_taylor.png","top right","ST2_sister_sam.png","HT2_sister_taylor.png","ST2_brother_sam.png","HT2_brother_taylor.png","Taylor gave the sandwich to his sister.","practice_taylor-sandwich-his-sister.mp3"
"10","nametag","4","practice","nametag_list4_practice2","she","11","ST1","jordan","ST1_she_jordan_nametag.png","he","10","HT2","taylor","HT2_he_taylor_nametag.png","popcorn.png",275,525,175,150,100,50,"ST1_brother_jordan.png","top left","ST1_brother_jordan.png","HT2_brother_taylor.png","ST1_sister_jordan.png","HT2_sister_taylor.png","Jordan gave the popcorn to her brother.","practice_jordan-popcorn-her-brother.mp3"
"10","nametag","4","practice","nametag_list4_practice3","they","12","ST2","sam","ST2_they_sam_nametag.png","she","11","ST1","jordan","ST1_she_jordan_nametag.png","hotdog.png",275,525,175,250,300,350,"ST2_sister_sam.png","bottom left","ST2_brother_sam.png","ST1_sister_jordan.png","ST2_sister_sam.png","ST1_brother_jordan.png","Sam gave the hotdog to their sister.","practice_sam-hotdog-their-sister.mp3"
"11","nametag","5","practice","nametag_list5_practice1","he","13","HT2","casey","HT2_he_casey_nametag.png","they","15","ST1","alex","ST1_they_alex_nametag.png","sandwich.png",525,275,725,150,100,50,"HT2_sister_casey.png","top right","ST1_sister_alex.png","HT2_sister_casey.png","ST1_brother_alex.png","HT2_brother_casey.png","Casey gave the sandwich to his sister.","practice_casey-sandwich-his-sister.mp3"
"11","nametag","5","practice","nametag_list5_practice2","she","14","ST2","jaime","ST2_she_jaime_nametag.png","he","13","HT2","casey","HT2_he_casey_nametag.png","popcorn.png",275,525,175,150,100,50,"ST2_brother_jaime.png","top left","ST2_brother_jaime.png","HT2_brother_casey.png","ST2_sister_jaime.png","HT2_sister_casey.png","Jaime gave the popcorn to her brother.","practice_jaime-popcorn-her-brother.mp3"
"11","nametag","5","practice","nametag_list5_practice3","they","15","ST1","alex","ST1_they_alex_nametag.png","she","14","ST2","jaime","ST2_she_jaime_nametag.png","hotdog.png",275,525,175,250,300,350,"ST1_sister_alex.png","bottom left","ST1_brother_alex.png","ST2_sister_jaime.png","ST1_sister_alex.png","ST2_brother_jaime.png","Alex gave the hotdog to their sister.","practice_alex-hotdog-their-sister.mp3"
"12","nametag","6","practice","nametag_list6_practice1","he","16","HT3","sam","HT3_he_sam_nametag.png","they","18","HT2","jordan","HT2_they_jordan_nametag.png","sandwich.png",525,275,725,150,100,50,"HT3_sister_sam.png","top right","HT2_sister_jordan.png","HT3_sister_sam.png","HT2_brother_jordan.png","HT3_brother_sam.png","Sam gave the sandwich to his sister.","practice_sam-sandwich-his-sister.mp3"
